内部ID	类别编码	类别名称	类别说明
0002001200040002	21242	滑片泵	
0002001200040003	21243	叶片泵	
0002001200040004	21244	活塞泵	
0002001200040005	21245	环形隔膜泵	
0002001200040006	21246	三无转子泵	
0002001200040007	21247	软管泵	
0002001200040008	21248	齿轮泵	
0002001200040009	21249	其他转子泵	
0002001200050000	21250	真空泵	
0002001200090000	21290	其他泵	
00020013	213	风机	
000200130001	2131	透平压缩机	
0002001300010001	21311	离心压缩机	
0002001300010002	21312	轴流压缩机	
0002001300010009	21319	其他透平压缩机	
000200130002	2132	透平鼓风机	
0002001300020001	21321	离心鼓风机	
0002001300020002	21322	轴流鼓风机	
0002001300020009	21329	其他透平鼓风机	
000200130003	2133	大型通风机	
0002001300030001	21331	大型离心通风机	
0002001300030002	21332	大型轴流通风机	
000200130004	2134	一般通风机	
0002001300040001	21341	一般离心通风机	
0002001300040002	21342	一般轴流通风机	
0002001300040009	21349	其他一般通风机	
0002001300050000	21350	罗茨鼓风机	
0002001300060000	21360	叶氏鼓风机	
0002001300070000	21370	回转式鼓风机	
0002001300080000	21380	专用风机	
0002001300090000	21390	其他风机	
00020014	214	气体压缩机	
0002001400010000	21410	工艺用压缩机	
000200140002	2142	动力用压缩机	
0002001400020001	21421	大型动力用压缩机	
0002001400020002	21422	一般动力用压缩机	
0002001400020009	21429	其他动力用压缩机	
0002001400030000	21430	微型压缩机	
000200140004	2144	螺杆压缩机	
0002001400040001	21441	单螺杆压缩机	
0002001400040002	21442	双螺杆压缩机	
0002001400040003	21443	三螺杆压缩机	
0002001400040009	21449	其他螺杆压缩机	
000200140005	2145	滑片膜片移动式压缩机	
0002001400050001	21451	滑片压缩机	
0002001400050002	21452	膜片压缩机	
0002001400050003	21453	移动式压缩机	
0002001400060000	21460	无油润滑压缩机	
0002001400070000	21470	专用压缩机	
0002001400090000	21490	其他气体压缩机	
00020015	215	气体分离及液化设备	
0002001500010000	21510	空气分离设备	
0002001500020000	21520	稀有气体提取设备	
0002001500030000	21530	工业气体分离设备	
0002001500040000	21540	气体液化设备	
0002001500050000	21550	车装气体分离设备	
0002001500090000	21590	其他气体分离及液化设备	
00020016	216	制冷空调设备	
000200160001	2161	制冷压缩机	
0002001600010001	21611	离心式制冷压缩机	
0002001600010002	21612	螺杆式制冷压缩机	
0002001600010003	21613	吸收式制冷压缩机	
0002001600010004	21614	回转式制冷压缩机	
0002001600010005	21615	活塞式制冷压缩机	
0002001600020000	21620	冷库制冷设备	
0002001600030000	21630	冷藏箱柜	
0002001600040000	21640	制冰设备	
0002001600050000	21650	空调机组	
0002001600060000	21660	恒温机恒温机组	
0002001600070000	21670	去湿机组	
0002001600080000	21680	专用制冷空调设备	
0002001600080001	21681	机房专用空调	
0002001600090000	21690	其他制冷空调设备	
00020017	217	真空获得及其应用设备	
000200170001	2171	真空获得设备	
0002001700010001	21711	旋片式真空泵	
0002001700010002	21712	滑阀式真空泵	
0002001700010003	21713	罗茨式真空泵	
0002001700010004	21714	余摆线式真空泵	
0002001700010005	21715	分子真空泵	
0002001700010006	21716	钛分子油扩散泵	
0002001700010007	21717	蒸汽喷射泵水环真空泵机械增压泵油增压泵	
0002001700010009	21719	其他真空获得设备	
000200170002	2172	真空应用设备	
0002001700020001	21721	真空镀膜机	
0002001700020002	21722	真空热处理设备	
0002001700020003	21723	真空熔炼设备	
0002001700020004	21724	真空干燥设备	
0002001700020005	21725	真空浇铸设备	
0002001700020009	21729	其他真空应用设备	
0002001700030000	21730	真空检测设备	
0002001700090000	21790	其他真空获得应用检测设备	
00020018	218	分离及干燥设备	
000200180001	2181	分离机械	
0002001800010001	21811	离心机	
0002001800010002	21812	分离机	
0002001800010003	21813	过滤机	
0002001800010004	21814	离心萃取机	
0002001800010005	21815	搅拌机械	
0002001800010006	21816	浓缩机械	
0002001800020000	21820	干燥机械	
0002001800090000	21890	其他分离机械及干燥机械	
00020019	219	减速机及传动装置	
000200190001	2191	摆线针轮减速机	
0002001900010001	21911	双轴型单级减速机	
0002001900010002	21912	电功机直联型单级减速机　　	
0002001900010003	21913	电功机直联型双级减速机	
0002001900010004	21914	油马达直联型摆线针轮减速机	
0002001900010005	21915	汽车吊卷扬机专用摆线针轮减速机	
0002001900010009	21919	其他摆线针轮减速机	
000200190002	2192	行星减速机	
0002001900020001	21921	卧式行星针轮摆线减速机	
0002001900020002	21922	立式行星针轮摆线减速机	
0002001900020003	21923	双轴型行星针轮摆线减速机	
0002001900020004	21924	直联型行星针轮摆线减速机	
0002001900030000	21930	圆柱齿轮减速机	
0002001900040000	21940	无极减速机	
0002001900050000	21950	垂直出轴减速器	
0002001900060000	21960	蜗轮蜗杆减速器	
0002001900070000	21970	液力耦合器	
0002001900090000	21990	其他减速机及传动装置	
00020020	220	金属表面处理设备	
000200200001	2201	电镀层设备	
0002002000010001	22011	滚镀设备	
0002002000010002	22012	电镀层设备	
0002002000010003	22013	超声波清洗及电镀设备	
0002002000010009	22019	其他电镀设备	
000200200002	2202	表面清理设备	
0002002000020001	22021	清洗机	
0002002000020002	22022	酸洗设备	
000200200003	2203	防锈除锈设备	
0002002000030001	22031	冷镀设备	
0002002000030002	22032	涂镀设备	
0002002000030003	22033	油漆设备	
0002002000090000	22090	其他金属表面处理设备	
00020021	221	包装气动工具等通用设备	
000200210001	2211	包装机械	
0002002100010001	22111	充填机械	
0002002100010002	22112	封口机械	
0002002100010003	22113	容器成型包装机械	
0002002100010004	22114	裹包机和捆扎打包机	
0002002100010005	22115	集合装箱机和真空包装机	
0002002100010006	22116	容器清洗消毒和贴标签机械	
000200210002	2212	气动工具	
0002002100020001	22121	风镐	
0002002100020002	22122	风铲	
0002002100020003	22123	风锤除锈锤捣固锤	
0002002100020004	22124	风砂轮气磨机	
0002002100020005	22125	风钻铆钉机气动螺刀	
0002002100020006	22126	风动扳子	
0002002100020007	22127	气动剪刀	
0002002100020009	22129	其他气动工具	
000200210003	2213	植物等有机物粉碎选别设备	
0002002100030001	22131	粉碎机	
0002002100030002	22132	研磨机	
0002002100030003	22133	分选机	
0002002100030004	22134	筛分设备	
0002002100030009	22139	其他植物等有机物粉碎选别设备	
000200210009	2219	其他工具（箱柜）	
00020025	225	探矿采矿选矿和造团设备	
000200250001	2251	钻探机穿孔机和凿岩机	
0002002500010001	22511	钻探机	
0002002500010002	22512	钻探专用工具和辅助机械	
0002002500010003	22513	穿孔机	
0002002500010004	22514	凿岩机械	
0002002500010009	22519	其他钻探机穿孔机和凿岩机	
000200250002	2252	装药填充机械	
0002002500020001	22521	装药车	
0002002500020002	22522	装药器	
0002002500020003	22523	填充机械	
0002002500020009	22529	其他装药填充机械	
000200250003	2253	矿用掘进和装载设备	
0002002500030001	22531	掘进设备	
0002002500030002	22532	装岩设备	
0002002500030003	22533	装载机	
0002002500030004	22534	装煤机	
0002002500030005	22535	抓岩机和抓斗	
0002002500030006	22536	扒矿机	
0002002500030009	22539	其他矿用掘进和装载设备	
000200250004	2254	采煤及支护机械	
0002002500040001	22541	采煤机	
0002002500040002	22542	截煤机	
0002002500040003	22543	刨煤机	
0002002500040004	22544	煤矿支护机械	
0002002500040006	22546	煤矿安全设备	
0002002500040009	22549	其他采煤及支护机械	
000200250005	2255	采油专用设备	
0002002500050001	22551	井类	
0002002500050002	22552	井下作业设备	
0002002500050003	22553	固井设备	
0002002500050004	22554	压裂酸化设备	
0002002500050005	22555	抽油设备	
0002002500050006	22556	石油勘探设备	
0002002500050009	22559	其他采油专用设备	
000200250006	2256	提升设备和绞车	
0002002500060001	22561	单绳缠绕式提升机	
0002002500060002	22562	多绳摩擦式提升机	
0002002500060003	22563	防爆式提升机	
0002002500060004	22564	矿井专用绞车	
0002002500060009	22569	其他提升设备和绞车	
000200250007	2257	选矿和洗矿设备	
0002002500070001	22571	破碎设备	
0002002500070002	22572	研磨设备	
0002002500070003	22573	筛分设备	
0002002500070004	22574	分级设备	
0002002500070005	22575	选别设备	
0002002500070006	22576	脱水设备	
0002002500070007	22577	洗矿设备	
0002002500070009	22579	其他洗矿和选矿设备	
000200250008	2258	造块设备	
0002002500080001	22581	烧结机	
0002002500080002	22582	球团设备	
0002002500080003	22583	布料器	
0002002500080004	22584	布料辊	
0002002500080009	22589	其他造块设备	
0002002500090000	22590	其他探矿采矿选矿和造块设备	
00020026	226	炼焦和金属冶炼轧制设备	
000200260001	2261	炼焦设备	
0002002600010001	22611	炼焦炉	
0002002600010002	22612	炼焦炉辅助设备	
0002002600010009	22619	其他炼焦设备	
000200260002	2262	炼铁设备	
0002002600020001	22621	炼铁高炉	
0002002600020002	22622	炼铁高炉辅助设备	
0002002600020003	22623	高炉压差发电设备	
0002002600020004	22624	铸铁设备	
0002002600020009	22629	其他炼铁设备	
000200260003	2263	炼钢设备	
0002002600030001	22631	混铁炉	
0002002600030002	22632	炼钢平炉	
0002002600030003	22633	炼钢转炉	
0002002600030004	22634	炼钢电炉	
0002002600030005	22635	钢二次精炼设备	
0002002600030006	22636	连续铸钢设备	
0002002600030007	22637	炼钢炉配套设备	
0002002600030009	22639	其他炼钢设备	
000200260004	2264	有色金属冶炼设备	
0002002600040001	22641	焙烧炉煅烧炉烧结炉	
0002002600040002	22642	重金属冶炼炉	
0002002600040003	22643	轻金属冶炼炉	
0002002600040004	22644	稀有金属冶炼炉	
0002002600040005	22645	电解槽	
0002002600040006	22646	有色金属铸造设备	
0002002600040009	22649	其他有色金属冶炼设备	
000200260005	2265	铁合金设备	
0002002600050001	22651	钛合金高炉	
0002002600050002	22652	铁合金电炉	
0002002600050003	22653	铁合金浇铸设备	
0002002600050009	22659	其他铁合金设备	
000200260006	2266	金属轧制机械及拉拔设备	
0002002600060001	22661	金属开坯轧机	
0002002600060002	22662	型材轧机	
0002002600060003	22663	板材带材的箔材轧机	
0002002600060004	22664	管材轧机	
0002002600060005	22665	线材轧机	
0002002600060006	22666	特殊轧机	
0002002600060007	22667	轧机辅助设备	
0002002600060008	22668	拉拔设备和制绳设备	
0002002600060009	22669	其他金属轧制机械及其拉拔设备	
00020027	227	炼油化工橡胶及塑料设备	
000200270001	2271	炼油化工基本设备	
0002002700010001	22711	塔类	
0002002700010002	22712	化工专用炉窑	
0002002700010004	22714	冷热交换设备	
0002002700010005	22715	容器	
0002002700010006	22716	反应器	
0002002700010007	22717	蒸发设备和分馏设备	
0002002700010009	22719	其他炼油化工基本设备	
000200270002	2272	炼油化工专用设备	
0002002700020001	22721	化工生产专用设备	
0002002700020002	22722	炼油专用设备	
0002002700020003	22723	合成塑料生产设备	
0002002700020004	22724	合成纤维单体生产设备	
0002002700020005	22725	合成橡胶生产设备	
0002002700020006	22726	基本有机化工原料生产设备	
0002002700020009	22729	其他炼油化工专用设备	
000200270003	2273	橡胶专用设备	
0002002700030001	22731	橡胶原料加工设备	
0002002700030002	22732	炼胶设备	
0002002700030003	22733	挤出设备	
0002002700030004	22734	压延设备	
0002002700030005	22735	成型设备	
0002002700030006	22736	硫化设备	
0002002700030007	22737	乳胶制品和再生胶生产设备	
0002002700030008	22738	橡胶专用设备辅助设备	
0002002700030009	22739	其他橡胶专用机械	
000200270004	2274	塑料专用机械	
0002002700040001	22741	塑料备料设备	
0002002700040002	22742	塑料制品设备	
0002002700040003	22743	塑料压延机械	
0002002700040004	22744	注射成型机	
0002002700040005	22745	中空吹塑成型机吸塑成型机	
0002002700040006	22746	挤出成型机	
0002002700040007	22747	发泡成型机	
0002002700040008	22748	人造革设备	
0002002700040009	22749	其他塑料专用设备	
000200270005	2275	日用化学品专用设备	
0002002700050001	22751	洗涤用品加工机械	
0002002700050002	22752	香料香精及化妆品加工机械	
0002002700050003	22753	牙膏加工机械	
0002002700050004	22754	火柴加工机械	
0002002700050005	22755	合成胶动物胶植物胶加工机械	
0002002700050009	22759	其他日用化学品制造专用设备	
000200270007	2277	林产化工机械	
0002002700070001	22771	天然橡胶加工设备	
0002002700070002	22772	木材水解设备	
0002002700070003	22773	松香生产设备	
0002002700090000	22790	其他炼油化工及橡胶塑料加工设备	
00020028	228	电力工业专用设备	
000200280001	2281	电站锅炉及辅助设备	
0002002800010001	22811	锅炉本体	
0002002800010002	22812	锅炉辅助设备	
0002002800010003	22813	化学水处理设备	
0002002800010004	22814	排污及疏水设备	
0002002800010005	22815	除尘除灰设备	
0002002800010009	22819	其他电站锅炉及辅助设备	
000200280002	2282	汽轮发电机组	
0002002800020001	22821	汽轮机本体	
0002002800020002	22822	发电机本体	
0002002800020003	22823	汽轮发电机组辅助设备	
000200280003	2283	水轮发电机组	
0002002800030001	22831	水轮机本体	
0002002800030002	22832	水轮发电机	
0002002800030003	22833	水轮发电机组辅助设备	
000200280004	2284	输电配电和变电专用设备	
0002002800040001	22841	输电线路	
0002002800040002	22842	配电线路	
0002002800040003	22843	变电设备	
0002002800040009	22849	其他输电配电和变电设备	
000200280005	2285	电力专用自动化控制设备	
0002002800050001	22851	电站自动化控制设备	
0002002800050002	22852	电力远动装置 	
0002002800050009	22859	其他电力专用自动化控制设备	
000200280006	2286	架线设备	
0002002800060001	22861	张力放线机	
0002002800060002	22862	液压倒装铁塔联动装置	
0002002800060003	22863	机动绞盘	
0002002800060009	22869	其他架线设备	
000200280009	2289	其他电力工业专用设备	
0002002800090001	22891	电站制氢设备	
00020029	229	非金属矿物制品工业专用设备	
000200290001	2291	水泥及水泥制品专用设备	
0002002900010001	22911	水泥及硅酸盐用炉窑	
0002002900010002	22912	水泥专用设备	
0002002900010003	22913	水泥制品专用设备	
0002002900010009	22919	其他水泥及水泥制品专用设备	
000200290002	2292	平板玻璃制造设备	
0002002900020001	22921	备料设备	
0002002900020002	22922	玻璃垂直引上机	
0002002900020003	22923	拉边机掰边机和掰板机	
0002002900020004	22924	切割机	
0002002900020005	22925	压延设备	
0002002900020006	22926	原片输送机	
0002002900020007	22927	垛板机和码片机	
0002002900020009	22929	其他平板玻璃制造设备	
000200290003	2293	玻璃纤维玻璃钢和工业技术玻璃生产设备	
0002002900030001	22931	玻璃纤维生产设备	
0002002900030002	22932	玻璃板设备	
0002002900030003	22933	玻璃钢设备	
0002002900030004	22934	工业技术玻璃专用设备	
0002002900030009	22939	其他玻璃纤维玻璃钢工业技术玻璃生产设备	
000200290004	2294	玻璃制品加工专用设备	
0002002900040001	22941	制管设备	
0002002900040002	22942	制瓶设备	
